epoch,split,loss,coord,conf_obj,conf_noobj,class,seconds
1,train,nan,nan,699.999548,0.105700,699.811082,40.12
1,val,nan,nan,613.348765,0.098830,613.048950,40.12
2,train,nan,nan,699.999556,0.105700,699.811084,38.74
2,val,nan,nan,613.348765,0.098830,613.048950,38.74
3,train,nan,nan,699.999545,0.105700,699.811080,43.28
3,val,nan,nan,613.348765,0.098830,613.048950,43.28
4,train,nan,nan,699.999545,0.105700,699.811071,42.86
4,val,nan,nan,613.348765,0.098830,613.048950,42.86
5,train,nan,nan,699.999548,0.105700,699.811080,35.97
5,val,nan,nan,613.348765,0.098830,613.048950,35.97
6,train,nan,nan,699.999537,0.105700,699.811088,38.03
6,val,nan,nan,613.348765,0.098830,613.048950,38.03
7,train,nan,nan,699.999539,0.105700,699.811077,38.57
7,val,nan,nan,613.348765,0.098830,613.048950,38.57
